QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J120945.71+601758.5" 182.44049 60.2996 2.962 2.307 2.897 nan nan nan
"SDSS J120949.74+453400.4" 182.45727 45.5668 3.591 2.421 3.516 2.7078 20.50 0.20
"SDSS J120952.72+183147.2" 182.46972 18.5298 5.127 4.170 5.025 nan nan nan
"SDSS J120952.82+544531.7" 182.47012 54.7588 2.368 2.307 2.313 nan nan nan
"SDSS J120957.55+390834.3" 182.48982 39.1429 3.272 2.507 3.202 3.0973 20.80 0.15
"SDSS J121001.72+392150.7" 182.50719 39.3641 2.962 2.560 2.897 2.8032 21.40 0.15
"SDSS J121003.29+512707.0" 182.51373 51.4520 3.271 2.884 3.201 nan nan nan
"[HB89] 1207+399" 182.54257 39.6600 2.454 2.307 2.397 nan nan nan
"SDSS J121019.96+442652.3" 182.58319 44.4479 3.370 3.082 3.298 nan nan nan
"SDSS J121021.68+464618.7" 182.59037 46.7719 3.487 3.208 3.413 nan nan nan
"SDSS J121028.63+330440.0" 182.61933 33.0778 3.321 2.379 3.250 3.0316 20.25 0.20
"SDSS J121031.44+414329.7" 182.63101 41.7249 2.440 2.307 2.384 nan nan nan
"SDSS J121032.88+341302.2" 182.63702 34.2173 3.200 2.543 3.131 nan nan nan
"SDSS J121037.74+360941.6" 182.65728 36.1616 2.477 2.324 2.420 nan nan nan
"SDSS J121039.40+160839.2" 182.66422 16.1442 2.355 2.307 2.300 nan nan nan
"SDSS J121040.36+350911.3" 182.66819 35.1531 2.919 2.307 2.855 nan nan nan
"SDSS J121054.01+140928.2" 182.72508 14.1579 2.959 2.307 2.894 nan nan nan
"SDSS J121057.12+122700.9" 182.73803 12.4503 2.370 2.307 2.315 nan nan nan
"SDSS J121115.54+474651.6" 182.81478 47.7810 2.421 2.307 2.365 nan nan nan
"SDSS J121117.59+042222.2" 182.82332 4.3729 2.541 2.307 2.483 2.3762 20.70 0.15
"SDSS J121122.63+565259.7" 182.84430 56.8833 2.520 2.307 2.462 nan nan nan
"SDSS J121126.69+610723.1" 182.86125 61.1231 3.639 2.707 3.563 nan nan nan
"SDSS J121129.84+130023.0" 182.87438 13.0064 2.955 2.311 2.890 nan nan nan
"SDSS J121134.04+484235.9" 182.89186 48.7100 4.544 3.678 4.452 nan nan nan
"SDSS J121134.77+454918.2" 182.89489 45.8217 2.947 2.343 2.882 2.7607 20.95 0.15
"[HB89] 1209+093" 182.89564 9.0391 3.292 2.346 3.222 2.5843 21.35 0.15
"LBQS 1209+1046" 182.91915 10.5006 2.200 1.634 2.148 nan nan nan
"SDSS J121142.89-014643.1" 182.92875 -1.7787 3.229 2.510 3.160 2.5574 20.10 0.20
"SDSS J121143.52+013011.2" 182.93137 1.5031 2.590 2.307 2.531 nan nan nan
"SDSS J121146.93+122419.0" 182.94557 12.4053 3.869 3.422 3.789 nan nan nan
"SDSS J121153.64+343654.1" 182.97353 34.6151 2.451 2.307 2.394 nan nan nan
"SDSS J121157.22+590851.2" 182.98852 59.1476 2.441 2.307 2.385 nan nan nan
"SDSS J121159.91+364733.1" 182.99965 36.7925 3.719 2.752 3.642 nan nan nan
"SDSS J121209.54+034749.8" 183.03977 3.7972 4.037 3.057 3.954 nan nan nan
"SDSS J121213.13+114857.2" 183.05474 11.8159 3.369 3.308 3.297 nan nan nan
"SDSS J121221.56+534127.8" 183.08983 53.6911 3.097 2.331 3.030 nan nan nan
"SDSS J121225.31+114436.1" 183.10549 11.7434 3.373 3.305 3.301 nan nan nan
"SDSS J121230.40+024653.6" 183.12667 2.7816 2.540 2.388 2.482 nan nan nan
"LBQS 1209+1524" 183.13355 15.1238 3.060 1.634 2.993 nan nan nan
"SDSS J121238.39+675920.5" 183.15998 67.9891 2.573 2.307 2.514 nan nan nan
"SDSS J121240.94+592125.3" 183.17064 59.3570 2.845 2.708 2.782 nan nan nan
"SDSS J121255.68+475335.7" 183.23200 47.8933 3.061 2.349 2.994 nan nan nan
"SDSS J121257.98+532029.2" 183.24162 53.3415 3.127 2.515 3.059 nan nan nan
"SDSS J121258.27+474953.6" 183.24280 47.8316 3.575 2.940 3.500 nan nan nan
"LBQS 1210+1731" 183.26259 17.2398 2.540 1.634 2.482 1.8920 20.60 0.20
"SDSS J121303.25+120838.9" 183.26359 12.1442 3.384 3.220 3.312 nan nan nan
"SDSS J121309.24+365409.9" 183.28852 36.9028 3.033 2.378 2.967 nan nan nan
"SDSS J121310.72+120715.1" 183.29468 12.1209 3.469 3.102 3.396 nan nan nan
"SDSS J121320.97+050601.7" 183.33738 5.1005 2.434 2.307 2.378 nan nan nan
"SDSS J121324.58+423538.5" 183.35244 42.5941 3.766 2.758 3.688 nan nan nan
"SDSS J121332.56+575814.6" 183.38569 57.9708 3.005 2.372 2.939 nan nan nan
"SDSS J121339.75+354556.8" 183.41568 35.7658 3.571 2.653 3.496 nan nan nan
"SDSS J121351.69+084948.1" 183.46540 8.8300 3.075 2.775 3.008 nan nan nan
"SDSS J121419.05+594430.9" 183.57941 59.7419 3.181 2.471 3.112 nan nan nan
"SDSS J121419.44+100433.8" 183.58104 10.0761 2.427 2.307 2.371 nan nan nan
"SDSS J121420.12+404305.8" 183.58384 40.7183 2.394 2.307 2.338 nan nan nan
"SDSS J121421.76+513332.9" 183.59069 51.5592 3.311 2.560 3.240 nan nan nan
"SDSS J121422.02+665707.5" 183.59175 66.9521 4.650 3.767 4.556 nan nan nan
"SDSS J121430.10+132522.3" 183.62543 13.4229 3.081 2.662 3.014 nan nan nan
"SDSS J121437.93+095542.8" 183.65804 9.9286 3.863 3.099 3.783 nan nan nan
"SDSS J121438.69+421105.9" 183.66122 42.1850 3.365 2.533 3.293 nan nan nan
"LBQS 1212+1551" 183.71915 15.5821 1.950 1.665 1.902 nan nan nan
"SDSS J121454.10+554121.0" 183.72549 55.6891 3.071 2.411 3.004 nan nan nan
"LBQS 1212+1045" 183.75682 10.4773 1.950 1.634 1.902 nan nan nan
"SDSS J121502.11-010832.2" 183.75882 -1.1423 2.357 2.307 2.302 nan nan nan
"SDSS J121504.99+134135.4" 183.77081 13.6932 3.310 2.712 3.239 2.9723 20.35 0.20
"LBQS 1212+0854" 183.78348 8.6379 2.350 1.634 2.295 nan nan nan
"SDSS J121522.75+525102.8" 183.84482 52.8508 2.458 2.372 2.401 nan nan nan
"SDSS J121524.60+091804.8" 183.85252 9.3013 2.875 2.339 2.811 nan nan nan
"SDSS J121528.60+413336.9" 183.86919 41.5603 2.975 2.582 2.910 nan nan nan
"SDSS J121529.35-033659.9" 183.87231 -3.6167 2.444 2.403 2.388 nan nan nan
"SDSS J121537.77+545937.1" 183.90744 54.9937 4.082 3.274 3.999 nan nan nan
"LBQS 1213+1015" 183.91175 9.9792 2.513 2.307 2.455 nan nan nan
"SDSS J121538.87+621844.3" 183.91202 62.3123 3.953 3.465 3.872 3.7445 21.25 0.15
"LBQS 1213+0922" 183.91528 9.1021 2.723 2.342 2.662 2.5229 20.20 0.20
"SDSS J121548.90+642228.5" 183.95378 64.3746 3.232 2.307 3.163 2.5364 20.85 0.15
"UM 485" 183.95752 -0.5755 2.707 2.328 2.646 nan nan nan
"SDSS J121601.78+370754.5" 184.00744 37.1318 2.771 2.416 2.709 nan nan nan
"SDSS J121606.40+604241.3" 184.02672 60.7115 2.468 2.307 2.411 nan nan nan
"SDSS J121607.58+415653.9" 184.03159 41.9483 4.552 4.364 4.461 nan nan nan
"SDSS J121614.04+444441.6" 184.05853 44.7449 3.123 3.082 3.055 nan nan nan
"SDSS J121617.68+465509.9" 184.07371 46.9194 3.779 3.335 3.701 nan nan nan
"SDSS J121618.60+430353.9" 184.07753 43.0650 2.857 2.462 2.794 2.6398 20.05 0.20
"SDSS J121619.12+392415.1" 184.07970 39.4042 3.313 3.241 3.242 nan nan nan
"SDSS J121625.94+153747.9" 184.10814 15.6300 3.509 2.801 3.435 nan nan nan
"2MASX J12163754+3243301" 184.16209 32.7244 3.258 3.062 3.188 nan nan nan
"SDSS J121643.74+624051.4" 184.18226 62.6810 4.008 3.555 3.926 nan nan nan
"SDSS J121644.54+041841.4" 184.18561 4.3115 3.173 2.473 3.105 nan nan nan
"SDSS J121655.58+633743.0" 184.23161 63.6286 3.168 2.422 3.100 2.9917 20.60 0.15
"SDSS J121706.49+124245.4" 184.27709 12.7126 3.234 2.498 3.165 nan nan nan
"SDSS J121711.02+583526.2" 184.29591 58.5906 2.552 2.307 2.494 nan nan nan
"[HB89] 1214+348" 184.31337 34.5939 2.638 2.307 2.578 nan nan nan
"FBQS J121732.5+330538" 184.38558 33.0939 2.610 1.640 2.551 1.9989 21.00 0.20
"SDSS J121746.79+014354.3" 184.44497 1.7318 2.666 2.307 2.606 nan nan nan
"SDSS J121747.06-025003.8" 184.44609 -2.8344 2.408 2.307 2.352 nan nan nan
"SDSS J121752.44+085319.3" 184.46855 8.8887 3.545 3.117 3.470 3.3896 21.35 0.20
"SDSS J121758.74+154250.5" 184.49478 15.7141 3.339 2.663 3.268 3.1228 20.85 0.15
"LBQS 1215+1244" 184.54147 12.4708 2.080 1.634 2.029 nan nan nan
"SDSS J121815.43+492638.5" 184.56432 49.4441 2.591 2.307 2.532 nan nan nan
"LBQS 1215+1202" 184.56498 11.7644 2.830 1.634 2.767 nan nan nan
"LBQS 1216+1517" 184.64050 15.0186 1.830 1.723 1.784 nan nan nan
"SDSS J121841.78+015223.7" 184.67409 1.8733 2.354 2.307 2.299 nan nan nan
"SDSS J121846.20+491845.9" 184.69256 49.3128 2.997 2.318 2.931 nan nan nan
"LBQS 1216+1754" 184.69421 17.6381 1.810 1.634 1.764 nan nan nan
"SDSS J121852.36+355239.6" 184.71817 35.8777 3.630 2.581 3.554 nan nan nan
"SDSS J121904.04+044410.8" 184.76684 4.7364 3.175 2.804 3.107 nan nan nan
"SDSS J121904.63+023217.3" 184.76934 2.5381 2.471 2.307 2.414 nan nan nan
"SDSS J121913.19+043809.1" 184.80498 4.6359 2.739 2.356 2.678 nan nan nan
"SDSS J121913.57+522433.0" 184.80659 52.4092 2.424 2.307 2.368 nan nan nan
"SDSS J121916.76+623026.1" 184.81985 62.5073 3.056 2.649 2.989 nan nan nan
"SDSS J121920.26+010736.1" 184.83445 1.1267 2.800 2.484 2.738 nan nan nan
"LBQS 1216+1656" 184.83502 16.6582 2.830 1.659 2.767 nan nan nan
"SDSS J121922.19+002905.4" 184.84249 0.4849 2.626 2.307 2.567 nan nan nan
"LBQS 1216+0947" 184.86122 9.5174 2.310 1.645 2.256 nan nan nan
"SDSS J121928.92+160357.1" 184.87052 16.0659 3.152 2.732 3.084 3.0054 20.30 0.20
nan nan nan nan nan nan 3.0317 20.25 0.20
"SBS 1217+499" 184.87824 49.6812 2.698 2.319 2.637 nan nan nan
"SDSS J121933.25+003226.4" 184.88858 0.5407 2.879 2.307 2.815 nan nan nan
"SDSS J121935.27+121030.2" 184.89700 12.1751 2.982 2.348 2.917 2.8704 20.80 0.20
"SDSS J121941.10-025654.5" 184.92126 -2.9485 3.227 2.437 3.158 2.5652 20.20 0.20
"SDSS J121944.79+461015.3" 184.93663 46.1709 2.484 2.307 2.427 nan nan nan
"SDSS J121951.65+361216.7" 184.96524 36.2047 3.044 2.401 2.978 2.4749 20.35 0.20
"SDSS J121957.82-012614.3" 184.99095 -1.4373 2.634 2.307 2.574 nan nan nan
"SDSS J122003.95+565826.9" 185.01651 56.9742 2.991 2.307 2.926 nan nan nan
"SDSS J122008.93+343642.3" 185.03723 34.6118 4.316 3.818 4.229 nan nan nan
"SDSS J122012.52+495952.4" 185.05220 49.9979 2.660 2.307 2.600 2.4301 20.70 0.20
"SDSS J122015.50+460802.4" 185.06461 46.1340 2.465 2.307 2.408 nan nan nan
"SDSS J122016.05+315253.0" 185.06693 31.8814 4.900 3.978 4.802 nan nan nan
"SDSS J122017.06+454941.0" 185.07111 45.8281 3.293 2.869 3.223 nan nan nan
"SDSS J122021.39+092135.7" 185.08915 9.3600 4.133 3.127 4.049 3.3048 20.40 0.20
"SDSS J122040.23+092326.8" 185.16765 9.3908 3.146 2.307 3.078 nan nan nan
"SDSS J122044.52+055106.9" 185.18554 5.8519 3.101 2.756 3.034 2.7894 20.30 0.20
"SDSS J122046.80+441236.7" 185.19501 44.2102 3.241 2.821 3.171 3.1356 20.35 0.15
"SDSS J122055.02+060409.2" 185.22928 6.0692 2.664 2.307 2.604 nan nan nan
"SDSS J122058.14+330246.7" 185.24228 33.0463 2.712 2.333 2.651 nan nan nan
"SDSS J122104.20+030331.2" 185.26754 3.0587 3.140 2.307 3.072 nan nan nan
"SDSS J122115.30+391932.9" 185.31379 39.3258 3.543 2.553 3.468 nan nan nan
"SDSS J122118.35-031542.6" 185.32649 -3.2618 3.140 2.461 3.072 nan nan nan
"SDSS J122125.35+575246.3" 185.35564 57.8796 2.934 2.307 2.869 nan nan nan
"LBQS 1219+1140" 185.42812 11.4034 2.180 1.634 2.128 nan nan nan
"SDSS J122143.05+542757.8" 185.42944 54.4661 3.960 3.486 3.879 nan nan nan
"SDSS J122146.42+444528.0" 185.44342 44.7578 5.203 4.234 5.100 4.8110 20.75 0.20
nan nan nan nan nan nan 4.9260 20.35 0.20
"SDSS J122155.25+543956.9" 185.48024 54.6658 3.183 2.356 3.114 nan nan nan
"SDSS J122158.06+142409.8" 185.49196 14.4027 2.400 2.350 2.344 nan nan nan
"SDSS J122201.38+611803.3" 185.50575 61.3009 3.209 2.617 3.140 nan nan nan
"SDSS J122209.56+494736.0" 185.53988 49.7934 3.374 2.508 3.302 3.0286 20.20 0.20
"SDSS J122212.01+580709.9" 185.55008 58.1194 2.540 2.307 2.482 nan nan nan
"SDSS J122225.97+670717.5" 185.60828 67.1215 2.905 2.735 2.841 nan nan nan
"SDSS J122237.21+544300.9" 185.65505 54.7169 3.661 2.773 3.585 nan nan nan
"SDSS J122237.96+195842.9" 185.65818 19.9786 5.120 4.164 5.018 nan nan nan
"SDSS J122240.82+591715.2" 185.67013 59.2876 3.243 2.853 3.173 nan nan nan
"SDSS J122247.85+624609.7" 185.69942 62.7694 3.242 2.335 3.172 2.9170 20.05 0.20
"SDSS J122250.57+425808.0" 185.71074 42.9689 3.248 2.813 3.178 nan nan nan
"SDSS J122301.02+422057.1" 185.75426 42.3492 2.448 2.307 2.391 nan nan nan
"SDSS J122307.52+103448.1" 185.78134 10.5801 2.761 2.397 2.699 nan nan nan
"SDSS J122319.91+423950.9" 185.83300 42.6641 3.886 3.423 3.806 nan nan nan
"SDSS J122321.26+441929.8" 185.83860 44.3250 3.391 2.577 3.319 nan nan nan
"SDSS J122330.30+534850.1" 185.87630 53.8139 3.277 3.203 3.207 nan nan nan
"SDSS J122343.15+503753.4" 185.92987 50.6315 3.488 2.307 3.414 nan nan nan
"SDSS J122356.81+145823.4" 185.98674 14.9732 3.246 2.307 3.176 nan nan nan
"SDSS J122359.35+112800.0" 185.99731 11.4667 4.113 3.278 4.029 nan nan nan
"SDSS J122405.78+610859.2" 186.02415 61.1498 3.302 2.606 3.231 nan nan nan
"SDSS J122411.54+525216.1" 186.04812 52.8712 3.054 2.432 2.987 nan nan nan
"SDSS J122423.67+152312.1" 186.09866 15.3867 3.974 3.505 3.892 nan nan nan
"SDSS J122437.01+434244.0" 186.15424 43.7122 2.850 2.809 2.787 nan nan nan
"SDSS J122439.54+505054.9" 186.16478 50.8486 3.436 2.737 3.363 nan nan nan
"SDSS J122453.80-022557.4" 186.22419 -2.4327 3.196 2.771 3.127 nan nan nan
"SDSS J122458.03+102300.5" 186.24181 10.3835 3.251 2.831 3.181 nan nan nan
"SDSS J122458.08+472644.0" 186.24203 47.4456 2.939 2.581 2.874 nan nan nan
"LBQS 1222+1053" 186.25101 10.6157 2.300 1.641 2.246 nan nan nan
"SDSS J122500.64+491127.3" 186.25270 49.1909 2.953 2.549 2.888 nan nan nan
"SDSS J122518.64+483116.0" 186.32769 48.5211 3.090 2.307 3.023 nan nan nan
"SDSS J122518.82+563817.6" 186.32850 56.6382 2.568 2.307 2.509 nan nan nan
"LBQS 1223+1059" 186.41934 10.7113 2.320 1.643 2.266 nan nan nan
"SDSS J122541.88+453801.1" 186.42452 45.6337 3.527 3.079 3.453 nan nan nan
"SDSS J122545.92+555529.1" 186.44140 55.9247 2.377 2.307 2.322 nan nan nan
"SDSS J122551.05+500114.0" 186.46275 50.0206 2.656 2.318 2.596 nan nan nan
"SDSS J122600.45+493726.8" 186.50188 49.6241 3.701 2.895 3.624 nan nan nan
"SDSS J122600.68+005923.5" 186.50285 0.9899 4.259 3.329 4.173 nan nan nan
"SDSS J122602.10+132114.5" 186.50876 13.3540 3.532 2.449 3.458 nan nan nan
"SDSS J122602.90+032547.2" 186.51211 3.4298 2.969 2.307 2.904 2.5095 20.65 0.15
"LBQS 1223+1753" 186.52999 17.6139 2.920 1.945 2.856 2.4658 21.50 0.20
"LBQS 1223+1723" 186.62508 17.1118 2.420 1.659 2.364 nan nan nan
"SDSS J122639.69+103708.3" 186.66544 10.6190 3.283 2.870 3.213 nan nan nan
"SDSS J122646.65+575054.4" 186.69445 57.8485 2.944 2.568 2.879 nan nan nan
"SDSS J122649.06+140143.2" 186.70446 14.0287 2.902 2.503 2.838 nan nan nan
"SDSS J122654.38-005430.4" 186.72663 -0.9085 2.610 2.307 2.551 nan nan nan
"SDSS J122656.61+650204.3" 186.73590 65.0345 2.998 2.598 2.932 2.8132 20.10 0.20
"SDSS J122657.96+000938.3" 186.74155 0.1607 4.140 3.097 4.056 nan nan nan
"LBQS 1224+1244" 186.80492 12.4678 2.140 1.634 2.088 nan nan nan
"SDSS J122721.29+435327.9" 186.83874 43.8911 3.082 2.433 3.015 nan nan nan
"SDSS J122729.87-003410.6" 186.87449 -0.5697 2.962 2.307 2.897 nan nan nan
"SDSS J122730.37-010446.0" 186.87657 -1.0795 2.870 2.307 2.807 nan nan nan
"SDSS J122733.57+571914.3" 186.88993 57.3207 2.486 2.307 2.429 nan nan nan
"SDSS J122736.72+435933.6" 186.90303 43.9927 3.144 2.916 3.076 nan nan nan
"SDSS J122736.73+640957.9" 186.90308 64.1661 2.557 2.307 2.499 nan nan nan
"SDSS J122741.25+570856.5" 186.92202 57.1490 2.407 2.307 2.351 nan nan nan
"SDSS J122752.11+353026.5" 186.96714 35.5074 3.170 2.507 3.102 nan nan nan
"SDSS J122813.71+664918.5" 187.05716 66.8218 2.919 2.307 2.855 nan nan nan
"SDSS J122821.25+472809.0" 187.08856 47.4692 3.418 2.396 3.346 nan nan nan
"LBQS 1225+1512" 187.09254 14.9318 2.010 1.797 1.961 nan nan nan
"SDSS J122825.77+672859.0" 187.10741 67.4831 2.497 2.307 2.440 nan nan nan
"SDSS J122826.33+130106.2" 187.10973 13.0184 3.230 2.549 3.161 nan nan nan
"LBQS 1225+1610" 187.12073 15.9063 2.230 1.663 2.177 nan nan nan
"SDSS J122829.98+520241.8" 187.12495 52.0450 3.032 2.416 2.966 nan nan nan
"SDSS J122836.05+510746.1" 187.15022 51.1295 2.442 2.307 2.386 nan nan nan
"LBQS 1226+1035" 187.15370 10.3117 2.320 1.634 2.266 nan nan nan
"SDSS J122838.50+503137.6" 187.16047 50.5271 3.057 2.320 2.990 nan nan nan
"SDSS J122844.16+642605.5" 187.18403 64.4349 2.432 2.307 2.376 2.3090 20.95 0.20
"SDSS J122844.82+152402.3" 187.18679 15.4007 3.721 2.994 3.644 3.2337 20.10 0.20
"SDSS J122848.21-010414.4" 187.20091 -1.0707 2.655 2.307 2.595 nan nan nan
"SDSS J122848.50+640354.2" 187.20212 64.0651 3.007 2.307 2.941 nan nan nan
"LBQS 1226+1115" 187.24200 10.9820 1.980 1.634 1.931 nan nan nan
"SDSS J122900.86+422243.1" 187.25361 42.3787 3.842 2.794 3.763 3.4524 20.60 0.15
"SDSS J122904.74+413115.1" 187.26978 41.5209 3.068 2.670 3.001 nan nan nan
"SDSS J122905.38+625326.4" 187.27249 62.8907 3.027 2.307 2.961 nan nan nan
"LBQS 1226+1639" 187.28965 16.3773 2.250 1.634 2.197 nan nan nan
"SDSS J122910.53+641737.9" 187.29389 64.2939 3.203 2.382 3.134 nan nan nan
"SDSS J122911.10+533027.1" 187.29628 53.5075 2.994 2.381 2.928 nan nan nan
"SDSS J122924.11-020914.6" 187.35050 -2.1541 3.624 2.880 3.548 nan nan nan
"SDSS J122927.19+391718.6" 187.36330 39.2885 3.598 2.324 3.523 nan nan nan
"SDSS J122932.06+540837.3" 187.38362 54.1437 2.900 2.507 2.836 nan nan nan
"SDSS J122934.78+103520.4" 187.39493 10.5890 3.838 3.021 3.759 nan nan nan
"SDSS J122944.93+004253.0" 187.43722 0.7147 2.884 2.599 2.820 nan nan nan
"LBQS 1227+1215" 187.47937 11.9859 2.170 1.624 2.118 nan nan nan
"SDSS J123000.85+153254.1" 187.50357 15.5484 3.243 2.861 3.173 nan nan nan
"SDSS J123005.86+142956.1" 187.52444 14.4989 3.255 2.385 3.185 nan nan nan
"SDSS J123011.99+102237.6" 187.54997 10.3771 3.553 2.611 3.478 2.9351 20.25 0.20
"SDSS J123038.67+054013.3" 187.66116 5.6704 2.530 2.307 2.472 nan nan nan
"SDSS J123053.16-025352.0" 187.72151 -2.8978 2.837 2.443 2.774 nan nan nan
"SDSS J123054.81+495426.9" 187.72842 49.9075 3.703 2.956 3.626 nan nan nan
"LBQS 1228+1808" 187.73737 17.8610 2.640 1.780 2.580 nan nan nan
"SDSS J123058.54+383601.7" 187.74395 38.6005 2.368 2.307 2.313 nan nan nan
"SDSS J123116.08+411337.3" 187.81702 41.2270 3.838 3.009 3.759 3.4327 20.05 0.20
nan nan nan nan nan nan 3.6289 20.10 0.20
"SDSS J123118.78+553644.5" 187.82829 55.6124 3.169 2.320 3.101 nan nan nan
"[HB89] 1228+077" 187.83567 7.4313 2.390 1.691 2.334 nan nan nan
"SDSS J123131.88-015350.6" 187.88285 -1.8974 3.896 3.001 3.816 3.6702 20.30 0.15
"SDSS J123132.37+013813.9" 187.88490 1.6372 3.229 2.307 3.160 nan nan nan
"SDSS J123139.12+010229.2" 187.91303 1.0415 2.883 2.321 2.819 nan nan nan
"SDSS J123139.17+031257.3" 187.91325 3.2159 2.517 2.382 2.459 nan nan nan
"SDSS J123141.33-034007.6" 187.92224 -3.6688 2.426 2.314 2.370 nan nan nan
"SDSS J123146.70+424309.1" 187.94462 42.7192 3.106 2.456 3.039 nan nan nan
"LBQS 1229+1414" 187.94510 13.9578 2.900 1.764 2.836 nan nan nan
"LBQS 1229+1531" 187.95997 15.2465 2.270 1.634 2.216 nan nan nan
"SDSS J123153.18-031155.1" 187.97161 -3.1987 2.713 2.362 2.652 nan nan nan
"SDSS J123158.85-013520.5" 187.99523 -1.5891 2.942 2.546 2.877 nan nan nan
"SDSS J123159.60+123816.7" 187.99836 12.6380 2.539 2.307 2.481 nan nan nan
"SDSS J123208.19+360355.1" 188.03416 36.0653 3.034 2.667 2.968 nan nan nan
"SDSS J123220.70+382840.8" 188.08626 38.4780 2.400 2.344 2.344 nan nan nan
"SDSS J123224.35+481626.3" 188.10149 48.2740 3.142 2.731 3.074 nan nan nan
"SDSS J123229.73+473654.3" 188.12391 47.6151 3.068 2.743 3.001 nan nan nan
"SDSS J123230.55+043837.0" 188.12733 4.6436 3.111 2.405 3.044 2.6042 20.15 0.20
"SDSS J123231.51+160244.3" 188.13132 16.0457 3.835 3.039 3.756 nan nan nan
"SDSS J123239.29+525250.9" 188.16375 52.8808 4.294 3.149 4.207 nan nan nan
"LBQS 1230+1042" 188.16388 10.4345 2.420 2.307 2.364 nan nan nan
"SDSS J123239.52-003611.1" 188.16467 -0.6031 2.555 2.307 2.497 nan nan nan
"LBQS 1230+1318" 188.22698 13.0354 2.290 1.634 2.236 nan nan nan
"SDSS J123255.28+540920.9" 188.23039 54.1558 2.344 2.307 2.289 nan nan nan
"SDSS J123259.50+502120.8" 188.24798 50.3558 2.718 2.338 2.657 nan nan nan
"SDSS J123303.01+325302.5" 188.26256 32.8841 2.358 2.307 2.303 nan nan nan
"LBQS 1230+1627B" 188.29349 16.1814 2.700 1.634 2.639 nan nan nan
"SDSS J123311.84+375747.5" 188.29935 37.9632 3.444 2.694 3.371 nan nan nan
"SDSS J123315.94+313218.4" 188.31644 31.5385 3.219 2.787 3.150 nan nan nan
"SDSS J123318.16+110032.3" 188.32571 11.0090 2.875 2.307 2.811 2.7931 20.80 0.15
"SDSS J123327.60+354948.9" 188.36500 35.8303 2.457 2.307 2.400 nan nan nan
"SDSS J123328.95+502032.4" 188.37067 50.3424 3.205 2.519 3.136 nan nan nan
"LBQS 1230+0941" 188.37341 9.4217 1.840 1.641 1.793 nan nan nan
"SDSS J123330.01+492250.3" 188.37507 49.3807 2.772 2.672 2.710 nan nan nan
"SDSS J123333.47+062234.2" 188.38950 6.3762 5.300 4.316 5.195 4.7110 20.50 0.20
"SDSS J123337.68+414608.3" 188.40702 41.7690 2.487 2.307 2.430 nan nan nan
"SDSS J123338.00+155251.1" 188.40836 15.8809 2.976 2.582 2.911 2.8765 20.50 0.15
"SDSS J123345.33+505837.9" 188.43894 50.9772 3.030 2.387 2.964 nan nan nan
"SDSS J123347.21-014853.8" 188.44675 -1.8150 4.253 3.218 4.167 nan nan nan
"SDSS J123352.74+475003.8" 188.46978 47.8344 3.779 3.015 3.701 nan nan nan
"SDSS J123404.48-024041.4" 188.51868 -2.6782 3.201 2.785 3.132 nan nan nan
"SDSS J123404.81+041512.7" 188.52006 4.2535 2.353 2.307 2.298 nan nan nan
"SDSS J123405.18+420508.3" 188.52163 42.0857 3.289 2.503 3.219 3.0466 20.85 0.20
"SDSS J123412.73+373210.6" 188.55308 37.5363 3.107 2.720 3.040 nan nan nan
"SDSS J123426.65+615432.0" 188.61106 61.9089 2.518 2.387 2.460 nan nan nan
"SDSS J123429.99+501045.6" 188.62497 50.1794 2.545 2.307 2.487 nan nan nan
"SDSS J123431.72+645556.5" 188.63222 64.9324 3.036 2.307 2.970 nan nan nan
"LBQS 1232+0815" 188.65647 7.9787 2.570 1.789 2.511 2.3376 20.90 0.20
"SDSS J123450.00+375530.3" 188.70834 37.9251 3.138 2.352 3.070 nan nan nan
"SDSS J123452.55+361146.6" 188.71898 36.1963 4.879 4.649 4.783 nan nan nan
"LBQS 1232+1139" 188.73529 11.3878 2.870 1.848 2.807 nan nan nan
"SDSS J123503.01+441118.2" 188.76258 44.1884 2.857 2.307 2.794 nan nan nan
"SDSS J123506.31+401510.7" 188.77628 40.2530 3.086 2.307 3.019 nan nan nan
"LBQS 1232-0051" 188.79410 -1.1294 2.780 1.782 2.718 nan nan nan
"SDSS J123515.83+630113.2" 188.81597 63.0204 2.383 2.307 2.328 nan nan nan
"SDSS J123517.70+133018.4" 188.82378 13.5051 3.115 2.458 3.047 nan nan nan
"SDSS J123518.55+441928.5" 188.82733 44.3246 3.280 2.443 3.210 nan nan nan
"SDSS J123525.82+014945.6" 188.85762 1.8294 4.031 2.965 3.948 nan nan nan
"SDSS J123528.68+451929.5" 188.86955 45.3249 3.841 2.740 3.762 nan nan nan
"SDSS J123535.36+400125.3" 188.89734 40.0237 2.451 2.307 2.394 nan nan nan
"SDSS J123539.00+331920.3" 188.91255 33.3223 3.227 2.866 3.158 nan nan nan
"SBS 1233+594" 188.95598 59.1742 2.824 2.307 2.761 nan nan nan
"SDSS J123556.85+550826.7" 188.98690 55.1408 3.655 3.214 3.579 3.4346 20.15 0.20
"SDSS J123557.10+504753.4" 188.98796 50.7982 3.531 2.629 3.457 nan nan nan
"SDSS J123558.04+384505.7" 188.99185 38.7516 2.467 2.320 2.410 nan nan nan
"SDSS J123610.15+615607.1" 189.04234 61.9353 3.385 2.779 3.313 nan nan nan
