QSO RA Dec zem zmin zmax zabs logN elogN
"LBQS 0041-2707" 10.96597 -26.8576 2.790 1.668 2.728 nan nan nan
"LBQS 0041-2607" 10.99494 -25.8541 2.505 1.634 2.448 nan nan nan
"LBQS 0041-2658" 11.02438 -26.7014 2.460 1.634 2.403 nan nan nan
"LBQS 0041-2859" 11.03264 -28.7195 2.130 1.589 2.079 nan nan nan
"LBQS 0042-2627" 11.14151 -26.1891 3.298 2.113 3.227 nan nan nan
"[WHO91] 0042-269" 11.21774 -26.6695 3.330 2.215 3.259 nan nan nan
"LBQS 0042-3053" 11.25831 -30.6173 1.970 1.634 1.921 nan nan nan
"LBQS 0042-2930" 11.28542 -29.2422 2.390 1.591 2.334 1.9310 20.50 0.20
"LBQS 0042-2657" 11.33162 -26.6809 2.900 2.226 2.836 nan nan nan
"LBQS 0043-2937" 11.36878 -29.3437 2.230 1.656 2.177 nan nan nan
"LBQS 0045-3002" 11.87796 -29.7751 2.020 1.603 1.970 nan nan nan
"SDSS J004732.71+002111.4" 11.88639 0.3532 2.879 2.495 2.815 nan nan nan
"UM 667" 11.95880 -3.4253 3.138 1.961 3.070 nan nan nan
"SDSS J004806.04+004623.6" 12.02524 0.7732 2.358 2.307 2.303 nan nan nan
"UM 278" 12.02524 -1.0560 2.527 2.307 2.469 nan nan nan
"[HB89] 0046-293 NED01" 12.12300 -29.0559 4.014 2.882 3.932 nan nan nan
"BRI J0048-2442" 12.14404 -24.7017 4.083 2.587 4.000 nan nan nan
"SDSS J004852.41-002430.7" 12.21841 -0.4086 2.696 2.338 2.635 nan nan nan
"[LWT91] 0047-2326" 12.36562 -23.1610 3.422 2.291 3.349 nan nan nan
"SDSS J0050-0053" 12.52645 -0.8887 4.332 2.590 4.245 nan nan nan
"SDSS J005010.53+153909.6" 12.54392 15.6527 2.954 2.585 2.889 nan nan nan
"LBQS 0047-2759" 12.56625 -27.7211 2.130 1.649 2.079 nan nan nan
"LBQS 0047-3050" 12.58373 -30.5725 2.970 1.930 2.905 nan nan nan
"LBQS 0047-2538" 12.60356 -25.3762 1.970 1.591 1.921 nan nan nan
"SDSS J005043.09-094314.7" 12.67956 -9.7208 2.899 2.517 2.835 nan nan nan
"LBQS 0048-2545" 12.75840 -25.4800 2.080 1.634 2.029 nan nan nan
"LBQS 0048-0119" 12.76013 -1.0456 1.880 1.634 1.833 nan nan nan
"LBQS 0049-2820" 12.86338 -28.0761 2.260 1.638 2.207 2.0713 20.50 0.20
"LBQS 0049-0104" 12.90971 -0.8033 2.100 1.715 2.049 nan nan nan
"LBQS 0049-0012" 12.98853 0.0652 1.950 1.634 1.902 nan nan nan
"LBQS 0049+0045" 13.01000 1.0248 2.270 1.644 2.216 nan nan nan
"SDSS J005206.08-110837.9" 13.02534 -11.1439 3.249 2.426 3.179 nan nan nan
"SDSS J005225.44+004251.0" 13.10602 0.7142 2.920 2.307 2.856 nan nan nan
"SDSS J005229.50-110310.0" 13.12297 -11.0527 2.438 2.307 2.382 nan nan nan
"UM 288" 13.14050 1.6779 2.310 1.681 2.256 nan nan nan
"LBQS 0050-2523" 13.18625 -25.1144 2.160 1.592 2.108 nan nan nan
"SDSS J005319.20+134708.8" 13.33002 13.7858 2.923 2.522 2.859 2.6285 20.75 0.15
"SDSS J005419.98+002727.9" 13.58328 0.4578 2.519 2.307 2.461 nan nan nan
"LBQS 0051-0226" 13.60179 -2.1776 2.530 1.634 2.472 nan nan nan
"LBQS 0052-0058" 13.72851 -0.7122 2.210 1.634 2.157 nan nan nan
"SDSS J005508.97-085914.8" 13.78744 -8.9874 2.476 2.307 2.419 nan nan nan
"LBQS 0053-0134" 14.06098 -1.3078 2.060 1.634 2.010 nan nan nan
"[HB89] 0053-284" 14.10446 -28.1425 3.635 2.447 3.559 nan nan nan
"LBQS 0054+0200" 14.18598 2.2750 1.870 1.634 1.823 nan nan nan
