Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
"[HB89] 1623+268 NED03",246.48911,26.74673,QSO,780763.00,2.604345,,19.2g,,72,0,38,17,20,8,0
WISE J162645.60+642655.0,246.69,64.44861,QSO,695519.00,2.32,,15.8,,23,0,21,6,3,0,0
WISEA J162902.98+091322.4,247.26243,9.22293,QSO,595388.00,1.986,,18.5g,,23,0,21,11,11,4,0
FBQS J1634+3203,248.55329,32.05984,QSO,705365.00,2.352844,,17.6g,,62,1,60,19,18,6,0
WISE J164656.30+551446.0,251.73458,55.24583,QSO,1210262.00,4.037,,18.1,,27,2,21,8,4,0,0
WISE J170100.60+641208.0,255.25259,64.20253,QSO,821654.00,2.740744,,16.1g,,202,5,66,27,31,8,0
"[HB89] 1700+518",255.35333,51.82222,QSO,87539.00,0.292,,15.1V,,284,10,64,27,19,0,0
WISEA J170919.92+281835.2,257.33311,28.30987,*,689523.00,2.3,,18.5g,,8,0,23,8,3,4,0
SBS 1711+579,258.11563,57.9186,QSO,898178.00,2.996,,17.5g,,52,0,51,12,18,8,0
"[HB89] 1718+481",259.90937,48.07007,QSO,324975.00,1.084,,14.6V,,158,9,76,13,6,0,0
WISE J173352.20+540030.0,263.46771,54.00852,QSO,1029912.00,3.435417,,17.7g,,57,0,52,21,28,8,0
WISEA J175603.62+574847.9,269.01509,57.81333,QSO,632562.00,2.11,,18.0,,58,1,39,14,6,4,1
WISE J175746.40+753916.0,269.44316,75.65449,QSO,914367.00,3.05,,16.12,,76,2,23,7,4,0,0
"[HB89] 1821+643",275.48881,64.34344,G,89038.00,0.297,,14.1,,368,20,68,31,25,0,0
"[HB89] 1850+402",283.12655,40.3185,QSO,635560.00,2.12,,18.5,,65,1,27,11,4,0,0
PKS 1937-101,294.98857,-10.04487,QSO,1135314.00,3.787,,19.0,,123,1,51,26,11,0,0
WISE J194454.90+770552.0,296.22913,77.09786,QSO,897579.00,2.994,,15.85,,107,4,5,6,5,0,0
"[HB89] 2000-330",300.85048,-32.86254,QSO,1131117.00,3.773,,19.0,,227,3,65,32,14,0,1
WISEA J203642.31-055300.3,309.17622,-5.8834,QSO,775308.00,2.586148,,18.8g,,48,0,38,13,19,8,0
"[HB89] 2038-012",310.21451,-1.09406,QSO,869398.00,2.9,,19.1,,28,0,17,4,2,4,0
WISEA J210025.03-064146.4,315.10429,-6.69611,QSO,942704.00,3.144521,,18.8g,,53,0,44,14,19,8,0
"[HB89] 2112+059 NED01",318.71913,6.12847,QSO,139703.00,0.466,,15.6V,,145,5,90,19,12,0,2
WISE J212329.47-005052.9,320.87278,-0.84804,QSO,680117.00,2.268625,,16.7g,,80,0,52,24,26,4,0
WISEA J212904.95-160249.4,322.27042,-16.04694,QSO,869398.00,2.9,,,,4,0,12,5,4,0,0
"[HB89] 2126-158",322.30073,-15.64473,QSO,979722.00,3.268,,16.1R,,394,11,88,38,22,0,0
"[HB89] 2128-123",322.89692,-12.118,QSO,150196.00,0.501,,17.1R,,410,9,121,42,15,0,0
WISEA J215501.99+135825.6,328.75875,13.97389,QSO,1275917.00,4.256,,17.9,,39,2,19,5,3,0,0
LBQS 2203-1833,331.66506,-18.31275,QSO,817834.00,2.728,,18.42,,20,0,13,8,6,0,0
LBQS 2206-1958,332.21667,-19.73306,QSO,766869.00,2.558,,17.54,,177,3,6,15,12,0,0
"[HB89] 2212-299",333.81681,-29.73981,G,810538.00,2.703664,,18.5b,,66,1,41,13,4,0,1
WISEA J221527.29-161133.1,333.86372,-16.19251,QSO,1196172.00,3.99,,18.1,,45,4,21,9,5,0,0
"[HB89] 2216-038",334.71682,-3.59358,QSO,270113.00,0.901,,16.52,,314,6,115,41,17,0,0
WISEA J222256.11-094636.1,335.7338,-9.77674,QSO,877457.00,2.92688,,18.3g,,67,0,48,20,22,8,0
3C 446,336.44691,-4.95039,QSO,420909.00,1.404,,17.19,,664,11,178,48,21,0,0
LBQS 2230+0232,338.14694,2.79865,QSO,643654.00,2.147,,18.05,,77,0,21,14,8,0,0
LBQS 2231-0015,338.53749,4.7E-4,QSO,908172.00,3.029336,,17.1i,,117,1,26,24,25,4,0
"[HB89] 2233+131",339.07998,13.43897,QSO,992981.00,3.312229,,18.9g,,87,2,39,12,17,8,0
"[HB89] 2233+136",339.11284,13.95389,QSO,964883.00,3.218502,,18.8g,,71,1,51,14,19,6,0
WISE J223953.60-055219.0,339.97333,-5.87194,QSO,1366454.00,4.558,,18.3,,87,2,8,11,9,0,1
"[HB89] 2237+030",340.12613,3.35862,QSO,508148.00,1.695,,16.78,,317,2,15,2,1,0,0
WISEA J224145.11+122557.2,340.43796,12.43256,QSO,791132.00,2.638933,,18.1g,,41,1,45,17,21,8,0
"[HB89] 2251+244",343.53892,24.75651,QSO,697917.00,2.328,:,17.8,,133,7,48,17,5,0,0
WISEA J230301.45-093931.0,345.75605,-9.65853,QSO,1035525.00,3.45414,,18.3g,,43,0,48,14,18,8,0
"[HB89] 2302+029",346.18757,3.19614,QSO,312983.00,1.044,,15.4V,,97,3,43,7,2,0,0
WISE J231324.46+003444.5,348.3519,0.57904,QSO,625771.00,2.087347,,16.5g,,52,0,55,17,25,8,0
WISEA J231543.56+145606.4,348.93152,14.93512,QSO,1016428.00,3.39044,,19.4g,,47,0,38,15,20,8,0
FBQS J2334-0908,353.69333,-9.13673,QSO,997906.00,3.328654,,18.8g,,78,0,39,16,22,8,0
WISEA J233823.16+150445.3,354.5965,15.07923,QSO,727992.00,2.428319,,17.7g,,39,0,50,15,17,8,2
FBQS J2340-0053,355.09863,-0.89083,QSO,625491.00,2.086413,,17.8g,,91,0,63,28,33,8,0
WISEA J234352.62+141014.6,355.96929,14.17074,QSO,874393.00,2.916662,,18.6g,,43,0,39,14,19,8,0
B2 2342+34,356.21356,34.56351,QSO,915267.00,3.053,,19.1,,62,1,25,12,5,0,0
WISEA J234531.02+090904.8,356.37929,9.15147,*,835370.00,2.786494,SPEC,18.4V,,7,0,12,7,2,0,0
"[HB89] 2343+125",356.61756,12.81664,QSO,753978.00,2.515,,17,,101,1,1,17,12,0,0
"[VCV96] Q 2344+1229",356.63668,12.76114,QSO,753978.00,2.515,,17.0,,5,0,0,3,1,0,1
WISEA J234856.47-104131.2,357.23536,-10.69199,QSO,948391.00,3.16349,,18.5g,,36,0,42,13,18,8,0
WISEA J235010.07+081255.2,357.542,8.21536,QSO,509647.00,1.7,,16.7,,27,0,32,9,1,0,0
KODIAQ J235050+045507,357.70963,4.91838,QSO,777362.00,2.593,,17.6,,8,0,0,3,2,0,0
UM 184,357.74115,-0.86942,QSO,909095.00,3.032413,,19.2g,,140,2,42,27,38,8,0
WISE J235129.80-142757.0,357.87425,-14.46578,QSO,881390.00,2.94,,16.9,,67,0,26,12,6,0,0
WISEA J235953.63-124148.0,359.97345,-12.69664,QSO,260220.00,0.868,,16.7,,31,0,25,11,4,0,0
