qso_name, set, ra, dec, z_dlas, nhi_dlas
J143912+111740,UVE,219.8001614769,11.2945817370,2.4195,20.7423
J122607+173649,UVE,186.5299538071,17.6138629939,"2.4660",21.5
J103909-231326,UVE,159.7895751210,-23.2239957182,"2.7787","21.1756"
J005127-280433,UVE,12.8632051470,-28.0760845671,"2.0710,1.8876,2.0690","20.4500,20.4831,21.0343"
J083932+111206,UVE,129.8874522901,11.2018114181,"2.4650,2.4656","20.5800,20.7134"
J033025-495403,UVE,52.6050416773,-49.9009415879,"1.8930","21.3000"
J122848-010414,UVE,187.2008685305,-1.0706648517,"2.2630","20.6635"
J235057-005209,UVE,357.7411187212,-0.8694194104,"2.6150","21.5000"
J234451+343348,UVE,356.2135732874,34.5634971127,"2.9090","21.1000"
J024658-123630,UVE,41.7435782712,-12.6085259834,1.8633,19.7179
J211719-433424,UVE,319.3307043939,-43.5735332975,"1.9117","19.7481"
J013901-082444,UVE,24.7558278711,-8.4122222029,"2.6770","20.7000"
J033854-000521,UVE,54.7282019804,-0.0891636133,"2.7478","20.2936"
J034943-381030,UVE,57.4318309866,-38.1751633688,"3.0250","20.8300"
J022928-364357,UVE,37.3684563956,-36.7324986539,1.7306,20.1026
J040718-441013,UVE,61.8253316724,-44.1705240985,"2.5834","21.8771"
J233156-090802,UVE,352.9852861380,-9.1338920728,"2.1430","21.1500"
J112010-134625,UVE,170.0429507447,-13.7738576656,"3.3387","21.2643"
J115538+053050,UVE,178.9108275011,5.5140581880,"3.3270","21.0000"
J111350-153333,UVE,168.4608256050,-15.5594130842,"3.2650","21.3000"
J093509-333237,UVE,143.7884083387,-33.5437724726,"2.6820,","20.6000"
J115122+020426,UVE,177.8422438355,2.0739749563,"1.9690","21.2000"
J041656-284340,UVE,64.2366628703,-28.7280238982,"1.7190,1.7543","21.3000,19.6233"
J011504-302514,UVE,18.7702471897,-30.4208061702,"2.7020","20.5000"
J033244-445557,UVE,53.1837072958,-44.9325248672,2.4131,20.6211
J110855+120953,UVE,167.2310780139,12.1648092426,"3.3960","20.8392"
J124524-000938,UVE,191.3524519556,-0.1605819431,"1.8252","20.7337"
J134002+110630,UVE,205.0105781656,11.1083610648,"2.7960,2.5086","20.9500,20.2740"
J104252+011736,UVE,160.7179937379,1.2934764336,"2.2670","21.0"
J110325-264515,UVE,165.8553662480,-26.7543850869,1.8388,19.8101
J214159-441325,UVE,325.4978300124,-44.2238385476,"2.8552","21.1456"
J135646-110128,UVE,209.1954924585,-11.0245004898,"2.4983","20.7174"
J120550+020131,UVE,181.4590771699,2.0254190529,"1.7477","20.4149"
J044017-433308,UVE,70.0714976894,-43.5523567759,"2.3470","20.7800"
J013340+040059,UVE,23.4179515455,4.0165832107,"3.6920,3.7730,3.6948,3.7769,3.9966","20.6800,20.4200,20.7359,20.7315,19.8946"
J123437+075843,UVE,188.6564527915,7.9786961114,"2.3399","21.1401"
J223235+024755,UVE,338.1467017674,2.7988289296,"1.8640","21.2921"
J084424+124546,UVE,131.1009940306,12.7629224939,"2.3750","21.1000"
J144331+272436,UVE,220.8798299975,27.4101927379,"4.2240","20.9500"
J125316+114720,UVE,193.3170365498,11.7890567421,"2.9440","20.5251"
J111109+144238,UVE,167.7902032503,14.7106147508,"2.6000,2.5955","21.3500,21.3716"
J042353-261801,UVE,65.9747458923,-26.3002737581,"2.1570","20.8135"
J013754-270736,UVE,24.4772884196,-27.1267777880,"2.8000","21.2152"
J045523-421617,UVE,73.8459972440,-42.2714120604,2.3046,19.5037
J004508-291432,UVE,11.2854552841,-29.2423069527,"1.9360","20.5000"
J223813-324823,UVE,339.5555797419,-32.8065598550,2.7001,20.5307
J001602-001225,UVE,4.0099936594,-0.2069743573,"1.9733","21.0532"
J135334-031022,UVE,208.3947849694,-3.1728337384,"2.5600","20.5081"
J200324-325144,UVE,300.8503690682,-32.8624782641,"3.1814","20.5669"
