QSO	PI_DATE	SPEC_PREFIX	Z_EM	QSO_Olam0	QSO_Olam1	QSO_Rlam0	QSO_Rlam1	OBS_Olam0	OBS_Olam1	LyaS2N	DR	S2N	SPECRES	dv	RA	DE
J121930+494052	Sargent_Jun_7_8_2003	J121930+494052	2.633	3027	7052	833	1941	4582	7020	-1.00	2	8.0	95600	2.60	3.2267196334147727	0.867093147173854
J121930+494052	Sargent_Jun_7_8_2003	J121930+494052_spec2	2.633	3027	7052	833	1941	4612	7052	-1.00	2	10.0	95600	2.60	3.2267334506046845	0.8671038130748384
J122137+043026	Sargent_April_13_14_15_1999	J122137+043026	0.094	3585	5130	3276	4689	3585	5130	-1.00	2	4.0	95600	2.60	3.2359858773018195	0.07866150457370333
J122518+483116	Hamann_Mar_27_2007	J122518+483116	3.09	3571	8128	873	1987	3571	8128	17.52	1	4.0	47700	1.30	3.252071268020512	0.8467828476311322
J122607+173649	Wolfe_Feb_25_26_1998	J122607+173649	2.924	4784	7181	1219	1830	4784	7181	-1.00	2	11.0	71700	2.60	3.244535808975027	0.3122408576228289
J122824+312837	Sargent_April_7_8_9_2007	J122824+312837	2.2	3101	5980	969	1868	3101	5980	52.11	1	11.0	47700	1.30	3.265585934195122	0.5493826216007472
J122824+312837	Sargent_April_13_14_15_1999	J122824+312837	2.2	3101	5980	969	1868	3118	4530	38.17	2	9.0	95600	2.60	3.2547430762171063	0.5541934277583973
J123200-022404	Smith_Apr_26_27_1997	J123200-022404	1.043	3369	4909	1649	2402	3369	4908	-1.00	2	5.0	95600	2.60	3.269944894001977	-0.037171149744349236
J123200-022404	Smith_Apr_26_27_1997	J123200-022404_spec2	1.043	3369	4909	1649	2402	3372	4909	-1.00	2	5.0	95600	2.60	3.269955802309802	-0.03716775604858147
J123643-020420	Wolfe_Apr_14_15_2012	J123643-020420	1.864	3303	6185	1153	2159	3303	6185	6.40	1	5.0	95500	2.60	3.3017993345124386	-0.036162737287641404
J123748+012606	Prochaska_Apr_12_13_2012	J123748+012606	3.144	3370	6274	813	1513	3370	6274	6.61	1	3.0	47700	1.30	3.306608443822205	0.025038202560901987
J124610+303117	Tytler_April_16_17_18_1999	J124610+303117	2.56	3160	4711	887	1323	3160	4698	55.61	2	11.0	71700	2.60	3.3324611333673713	0.5374591139275394
J124610+303117	Tytler_Mar_13_14_2000	J124610+303117	2.56	3160	4711	887	1323	3161	4711	47.34	2	15.0	71700	2.60	3.3324924038498023	0.5374785064747838
J124610+303131	Prochaska_Jun_2_3_2006	J124610+303131	2.56	3189	6086	895	1709	3189	6086	18.07	1	8.0	47700	1.30	3.343097460717233	0.5326890321191027
J124913-055918	Steidel_Mar_1_1998	J124913-055918	2.226	3931	6293	1218	1950	3931	6293	-1.00	2	12.0	95600	2.60	3.345113316003287	-0.09976786818080698
J124924-023339	Prochaska_Jan_3_4_2006	J124924-023339	2.116	3075	5966	986	1914	3075	5966	7.70	1	5.0	47700	1.30	3.3572164471453454	-0.04471145692664584
J125005+263107	Steidel_Feb_27_28_1998	J125005+263107	2.047	3889	6281	1276	2061	3889	6281	-1.00	2	13.0	95600	2.60	3.3601915062994743	0.46283465287643516
J130411+295348	Prochaska_Feb_5_2010	J130411+295348	2.85	2996	5871	778	1524	2996	5871	19.35	1	9.0	47700	1.30	3.421714362432274	0.5217870268719925
J130426+120245	Wolfe_Mar_24_25_2008	J130426+120245	2.98	3606	8171	906	2053	3606	8171	11.36	1	6.0	71600	1.30	3.422745561131994	0.2102792075350013
