QSO	PI_DATE	SPEC_PREFIX	Z_EM	QSO_Olam0	QSO_Olam1	QSO_Rlam0	QSO_Rlam1	OBS_Olam0	OBS_Olam1	LyaS2N	DR	S2N	SPECRES	dv	RA	DE
J013340+040059	Wolfe_Dec_27_2006	J013340+040059	4.15	4159	8742	807	1697	4159	8742	14.73	1	7.0	47700	1.30	0.40873138531933534	0.07005557692032796
J013421+330756	Hamann_Dec_27_2003	J013421+330756	4.52	5597	8578	1013	1553	5597	7951	9.13	2	5.0	95600	2.60	0.411712989458159	0.5782542459381824
J013421+330756	Hamann_Dec_27_2003	J013421+330756_spec2	4.52	5597	8578	1013	1553	6234	8578	6.45	2	7.0	95600	2.60	0.4117093533555507	0.5782576396339502
J013515-021349	Becker_Dec_26_27_1997	J013515-021349	1.82	3892	6282	1380	2227	3892	6282	-1.00	2	6.0	71700	2.60	0.4156247086441913	-0.038932962661501286
J014516-094517	Steidel_Oct_9_10_2005	J014516-094517A	2.729	3022	6167	810	1653	3102	5978	63.76	1	13.0	71600	2.60	0.4593430247450842	-0.1702757762656101
J014516-094517	Steidel_Oct_9_10_2005	J014516-094517B	2.729	3022	6167	810	1653	3102	5979	20.85	1	4.0	95500	2.60	0.4593510241708226	-0.17027723070665346
J014516-094517	Steidel_Sep_24_25_2008	J014516-094517A	2.729	3022	6167	810	1653	3022	5897	21.43	1	7.0	47700	1.30	0.45931975368839095	-0.17027335219720457
J014516-094517	Steidel_Sep_24_25_2008	J014516-094517B	2.729	3022	6167	810	1653	3022	5897	7.81	1	7.0	47700	1.30	0.45931975368839095	-0.17027335219720457
J014516-094517	Sargent_Nov_10_11_12_1999	J014516-094517A	2.729	3022	6167	810	1653	3856	6167	12.18	2	10.0	95600	2.60	0.4485387094547177	-0.1746211612893949
J014944+150106	Tytler_Dec_10_12_13_14_2009	J014944+150106	2.07	3176	6038	1034	1966	3176	6038	11.80	1	11.0	95500	2.60	0.4788325347256876	0.26212566740653614
J015227-200107	Tytler_Jan_13_14_15_2008	J015227-200107	2.147	3177	6528	1009	2074	3177	6032	5.44	1	4.0	95500	2.60	0.49069859197768406	-0.3493989173977881
J015227-200107	Steidel_Sep_22_23_24_1998	J015227-200107	2.147	3177	6528	1009	2074	4117	6528	-1.00	2	6.0	95600	2.60	0.4906527770848192	-0.3493945540746582
J015234+335033	Wolfe_Sep_29_30_1997	J015234+335033	2.431	4069	6526	1185	1902	4069	6526	-1.00	2	5.0	71700	2.60	0.47850383104989536	0.5863700269599561
J015741-010629	Prochaska_Dec_18_2003	J015741-010629	3.564	3937	6294	862	1379	4000	6294	13.31	2	11.0	71700	2.60	0.513512226962815	-0.01934115699418383
J015741-010629	Tytler_Aug_3_4_2002	J015741-010629	3.564	3937	6294	862	1379	3937	5508	10.22	2	7.0	71700	2.60	0.5135362252400298	-0.01934212662154605
J020346+113445	Steidel_Oct_29_30_1997	J020346+113445	3.61	4473	6914	970	1499	4473	6914	9.56	2	3.0	95600	2.60	0.5400812287218202	0.20210040073468338
J020455+364917	Ellison_Aug_17_18_2006	J020455+364917	2.912	3157	6384	807	1631	3473	6384	10.83	1	12.0	47700	1.30	0.5450517809873958	0.6426709549335254
J020455+364917	Prochaska_Aug_19_20_2006	J020455+364917	2.912	3157	6384	807	1631	3501	6296	8.19	1	4.0	47700	1.30	0.5451310480242573	0.6426462294357888
J020455+364917	Wolfe_Oct_6_2004	J020455+364917	2.912	3157	6384	807	1631	3157	6031	10.23	1	2.0	47700	1.30	0.5450946869981741	0.6426593194051788
J020455+364917	Tytler_Aug_27_2001	J020455+364917	2.912	3157	6384	807	1631	3166	4716	22.96	2	6.0	71700	2.60	0.532027261444388	0.6384889521202745
J020944+051714	Wolfe_Dec_27_2006	J020944+051714	4.18	5193	8319	1002	1605	5733	7314	20.41	1	9.0	47700	1.30	0.5661484483208772	0.09218441258089162
J020944+051714	Wolfe_Sep_18_2007	J020944+051714	4.18	5193	8319	1002	1605	5211	8319	46.00	1	5.0	47700	1.30	0.5661419033361822	0.0923061008148501
J020944+051714	Sargent_Dec_18_22_1998	J020944+051714	4.18	5193	8319	1002	1605	5682	8124	25.13	2	5.0	95600	2.60	0.5661200867205323	0.09227992087607019
J020944+051714	Sargent_Dec_18_22_1998	J020944+051714_spec2	4.18	5193	8319	1002	1605	5554	8009	29.04	2	7.0	95600	2.60	0.5661179050589673	0.09227361829821577
J020944+051714	Sargent_Dec_18_22_1998	J020944+051714_spec3	4.18	5193	8319	1002	1605	5544	7655	33.85	2	7.0	95600	2.60	0.5661193595000106	0.09227943606238907
J020944+051714	Sargent_Dec_18_22_1998	J020944+051714_spec4	4.18	5193	8319	1002	1605	5193	7622	39.98	2	6.0	95600	2.60	0.5661186322794889	0.09227846643502687
J020950-000506	Prochaska_Sep_8_9_2004	J020950-000506	2.828	3022	9219	789	2408	3151	5994	37.70	1	5.0	47700	1.30	0.5665542373719658	-0.0014859539326007277
J020950-000506	Steidel_Sep_24_25_2008	J020950-000506	2.828	3022	9219	789	2408	3022	5897	34.14	1	6.0	47700	1.30	0.5665506012693576	-0.0014864387462818374
J020950-000506	Wolfe_Oct_3_4_5_2004	J020950-000506	2.828	3022	9219	789	2408	4650	9219	-1.00	1	10.0	47700	1.30	0.5665571462540525	-0.0014849843052385087
J021129+124110	Wolfe_Jan_24_25_26_2011	J021129+124110	2.953	3681	6588	931	1666	3681	6588	5.77	1	5.0	47700	1.30	0.5737580838595724	0.2214905239106593
J021857+081727	Sargent_Aug_20_21_22_1995	J021857+081727	2.995	5229	7674	1308	1920	5229	7653	-1.00	2	7.0	95600	2.60	0.5946867632525494	0.1406909910032629
J021857+081727	Sargent_Oct_17_18_1995	J021857+081727	2.995	5229	7674	1308	1920	5232	7674	-1.00	2	6.0	95600	2.60	0.5947078526476777	0.14071911019676728
J022554+005451	Wolfe_Dec_26_2006	J022554+005451	2.975	3571	6485	898	1631	3571	6485	7.58	1	5.0	47700	1.30	0.6367041105532697	0.015958127127401488
J022839-101110	Junkkarinen_Jan_15_16_1996	J022839-101110	2.256	3760	6198	1154	1903	3760	6181	4.23	2	9.0	95600	2.60	0.6378938433267125	-0.18175810348900837
J022839-101110	Junkkarinen_Jan_15_16_1996	J022839-101110_spec2	2.256	3760	6198	1154	1903	3983	6198	-1.00	2	9.0	95600	2.60	0.6378836622394092	-0.18175277053851618
J022853-033737	Tytler_Dec_10_12_13_14_2009	J022853-033737	2.066	3177	6039	1036	1969	3177	6039	12.96	1	8.0	95500	2.60	0.6496391819721126	-0.063301637528791
J023145+132254	Tytler_Dec_10_12_13_14_2009	J023145+132254	2.059	3176	6039	1038	1974	3176	6039	9.10	1	11.0	95500	2.60	0.6621982803812552	0.2335599605018812
J023145+132254	Steidel_Sep_22_23_24_1998	J023145+132254	2.059	3176	6039	1038	1974	3218	4723	3.69	2	6.0	95600	2.60	0.6621822815297784	0.23355899087451895
J023359+004938	Tytler_Jan_13_14_15_2008	J023359+004938	2.522	3174	6033	901	1712	3174	6033	7.29	1	5.0	95500	2.60	0.6719190370943418	0.014443569187615295
J023838+163659	Cohen_Dec_25_1997	J023838+163659	0.94	3834	6178	1976	3184	3834	6170	-1.00	2	14.0	95600	2.60	0.6801409923122786	0.28625823801112554
J023838+163659	Cohen_Dec_25_1997	J023838+163659_spec2	0.94	3834	6178	1976	3184	3918	6178	-1.00	2	14.0	95600	2.60	0.6801439011943653	0.28628732683199204
J023924-090138	Tytler_Jan_13_14_15_2008	J023924-090138	2.471	3133	6032	902	1737	3133	6032	5.82	1	4.0	95500	2.60	0.6955486135047801	-0.1575397208628626
J024008-230915	Sargent_Dec_28_29_30_31_1997	J024008-230915	2.225	3504	5045	1086	1564	3504	5045	9.46	2	7.0	71700	2.60	0.6888858190852918	-0.40782332929461723
J024008-230915	Sargent_Dec_28_29_30_31_1997	J024008-230915_spec2	2.225	3504	5045	1086	1564	3504	5044	10.83	2	8.0	71700	2.60	0.6888356408692969	-0.40789459690574037
J024401-013403	Sargent_Aug_20_21_22_1995	J024401-013403	4.01	4469	6921	892	1381	4469	6888	9.39	2	5.0	95600	2.60	0.7046614138617556	-0.03100674378904148
J024401-013403	Sargent_Aug_20_21_22_1995	J024401-013403_spec2	4.01	4469	6921	892	1381	4493	6921	9.96	2	6.0	95600	2.60	0.7046803215953189	-0.030995108260694855
J024854+180249	Sargent_Oct_17_18_1995	J024854+180249	4.403	5929	8507	1097	1574	6072	8507	12.66	2	6.0	95600	2.60	0.7247421541264719	0.31136043597793395
J024854+180249	Sargent_Oct_17_18_1995	J024854+180249_spec2	4.403	5929	8507	1097	1574	5929	8387	8.13	2	8.0	95600	2.60	0.7247690612857736	0.3113909792398438
J025127+341442	Tytler_Jan_13_14_15_2008	J025127+341442	2.23	3133	6031	969	1867	3133	6031	7.33	1	5.0	95500	2.60	0.7481019317233727	0.5977263026262658
J025515+014828	Tytler_Jan_13_14_15_2008	J025515+014828	2.47	3157	6030	909	1737	3157	6030	6.22	1	4.0	95500	2.60	0.7646483802528006	0.03158076318747517
J025518+004847	Wolfe_Nov_8_9_1999	J025518+004847	3.988	5800	8156	1162	1635	5800	8156	12.86	2	7.0	95600	2.60	0.7536855308887112	0.010693050550551926
J025518+004847	Wolfe_Nov_8_9_1999	J025518+004847_spec2	3.988	5800	8156	1162	1635	5800	8156	3.13	2	4.0	71700	2.60	0.7537131652685345	0.010664931357047573
J025625-011911	Becker_Dec_26_27_1997	J025625-011911	2.49	4030	6423	1154	1840	4060	6287	2.62	2	3.0	71700	2.60	0.7698043737514007	-0.023034952430557382
J025625-011911	Becker_Dec_26_27_1997	J025625-011911_spec2	2.49	4030	6423	1154	1840	4030	6423	2.33	2	4.0	71700	2.60	0.7697963743256623	-0.023033982803195165
J025644+001246	Tytler_Jan_13_14_15_2008	J025644+001246	2.251	3157	6030	971	1854	3157	6030	4.30	1	9.0	95500	2.60	0.7711635489063913	0.003708339846806841
J025905+001121	Steidel_Feb_1_2000	J025905+001121	3.365	3806	6791	871	1555	4357	6756	8.54	2	6.0	95600	2.60	0.7814377204364643	0.003303035609399268
J025905+001121	Steidel_Feb_1_2000	J025905+001121_spec2	3.365	3806	6791	871	1555	4381	6789	7.82	2	12.0	95600	2.60	0.7814319026722911	0.0033069141188481446
J025905+001121	Steidel_Sep_14_15_16_1999	J025905+001121	3.365	3806	6791	871	1555	4358	6758	33.25	2	8.0	95600	2.60	0.7814151766002929	0.0032967330315448445
J025905+001121	Steidel_Sep_14_15_16_1999	J025905+001121_spec2	3.365	3806	6791	871	1555	4382	6791	31.84	2	16.0	95600	2.60	0.7813962688667296	0.0033010963546748306
J025905+001121	Steidel_Sep_22_23_24_1998	J025905+001121	3.365	3806	6791	871	1555	3806	5353	11.06	2	10.0	95600	2.60	0.7814129949387278	0.003313701510383678
J025905+001121	Steidel_Sep_22_23_24_1998	J025905+001121_spec2	3.365	3806	6791	871	1555	4317	6757	9.34	2	10.0	95600	2.60	0.7814282665696828	0.003314186324064788
J030046+022245	Tytler_Jan_13_14_15_2008	J030046+022245	2.52	3133	6033	890	1713	3133	6033	5.38	1	18.0	95500	2.60	0.7886677468628509	0.04150732330819292
J030341-002321	Prochaska_Sep_8_9_2004	J030341-002321	3.175	3536	6423	846	1538	3536	6423	19.13	1	4.0	47700	1.30	0.8014653736030993	-0.006801451132285681
J030341-002321	Prochaska_Dec_18_2003	J030341-002321	3.175	3536	6423	846	1538	3977	6410	16.53	2	11.0	71700	2.60	0.8014741002493593	-0.006807268896458996
J030449-000813	Cowie_Dec_6_7_8_1996	J030449-000813	3.295	4226	6712	983	1562	4253	6712	14.96	2	11.0	71700	2.60	0.806511556802928	-0.002364436322771207
J030449-000813	Cowie_Dec_6_7_8_1996	J030449-000813_spec2	3.295	4226	6712	983	1562	4226	6665	14.14	2	7.0	71700	2.60	0.8064948307309298	-0.0023707389006256308
J030449-221151	Steidel_Sep_22_23_24_1998	J030449-221151	1.409	3765	5333	1562	2213	3765	5333	-1.00	2	9.0	95600	2.60	0.8064650146895415	-0.38742527847561464
J031003-004645	Tytler_Jan_13_14_15_2008	J031003-004645	2.114	3133	6032	1006	1937	3133	6032	6.77	1	5.0	95500	2.60	0.8292386525459808	-0.013599993382484705
J032412-320259	Tytler_Dec_14_15_1998	J032412-320259	3.302	3820	5357	887	1245	3820	5357	13.79	2	4.0	71700	2.60	0.8910138541997985	-0.5593649352947927
J033900-013318	Prochaska_Jan_5_2006	J033900-013318	3.197	3686	7198	878	1715	4185	7198	11.37	1	6.0	71600	2.60	0.9556383058574968	-0.027138900241149604
J033900-013318	Prochaska_Oct_26_28_2005	J033900-013318	3.197	3686	7198	878	1715	3686	6599	12.17	1	5.0	71600	2.60	0.955633215313845	-0.027137930613787387
J033900-013318	Tytler_Oct_9_10_11_1999	J033900-013318	3.197	3686	7198	878	1715	3937	6400	7.22	2	6.0	71700	2.60	0.9445489201226378	-0.029894096390895096
J033900-013318	Wolfe_Oct_31_Nov_1_2003	J033900-013318	3.197	3686	7198	878	1715	4312	6767	13.22	2	7.0	95600	2.60	0.9556404875190618	-0.027140839495874047
J034943-381031	Wolfe_Sep_20_21_22_1996	J034943-381031	3.222	4853	7333	1149	1736	4853	7333	16.36	2	8.0	71700	2.60	0.9943962507801175	-0.6688824066027124
J035116+061914	Hamann_Dec_16_1998	J035116+061914	2.059	3500	5050	1144	1650	3500	5042	4.43	2	5.0	95600	2.60	0.9974985735255374	0.1077003896311212
J035116+061914	Hamann_Dec_16_1998	J035116+061914_spec2	2.059	3500	5050	1144	1650	3507	5050	3.63	2	5.0	95600	2.60	0.997499300746059	0.10770135925848343
J040241-064124	Wolfe_Jan_24_25_26_2011	J040241-064124	2.432	2995	5882	872	1713	2995	5882	7.31	1	10.0	35800	1.30	1.0589719786628644	-0.11676640546786952
J042408+020424	Cowie_Oct_25_26_2001	J042408+020424	2.044	3316	6080	1089	1997	3861	6080	-1.00	2	8.0	95600	2.60	1.152539807082802	0.036190856481145756
J042408+020424	Sargent_Oct_12_13_14_1999	J042408+020424	2.044	3316	6080	1089	1997	3316	4850	8.04	2	12.0	95600	2.60	1.1525085366003707	0.03620879458734681
J042408+020424	Sargent_Oct_12_13_14_1999	J042408+020424_spec2	2.044	3316	6080	1089	1997	3340	4890	9.19	2	8.0	95600	2.60	1.152557260375322	0.036191341294826866
J042707-130253	Hamann_Dec_16_1998	J042707-130253	2.166	3455	6978	1091	2204	3500	5042	4.36	2	6.0	95600	2.60	1.1553934204098129	-0.2296707851520205
J042707-130253	Hamann_Dec_16_1998	J042707-130253_spec2	2.166	3455	6978	1091	2204	3507	5049	4.13	2	6.0	95600	2.60	1.1553934204098129	-0.2296707851520205
J042707-130253	Hamann_Jan_1_2_1998	J042707-130253	2.166	3455	6978	1091	2204	3466	4980	3.81	2	5.0	95600	2.60	1.155410873702333	-0.22966933071097714
J042707-130253	Hamann_Jan_1_2_1998	J042707-130253_spec2	2.166	3455	6978	1091	2204	3455	4989	3.15	2	5.0	95600	2.60	1.1553708765736412	-0.22968339030772936
J042707-130253	Steidel_Feb_27_28_1998	J042707-130253	2.166	3455	6978	1091	2204	4528	6978	-1.00	2	7.0	95600	2.60	1.1655286928202484	-0.2277334696823068
J043038-133546	Sargent_Nov_10_11_12_1999	J043038-133546	3.249	4382	6791	1031	1598	4382	6791	6.45	2	6.0	95600	2.60	1.1809130429560566	-0.2373269628041023
J045142-132033	Sargent_Dec_11_12_1996	J045142-132033	3.093	3686	6183	900	1510	3722	6183	5.57	2	5.0	95600	2.60	1.2627304421869423	-0.2343482675473653
J045142-132033	Sargent_Dec_28_29_30_31_1997	J045142-132033	3.093	3686	6183	900	1510	3686	5202	5.93	2	4.0	71700	2.60	1.2627428049358105	-0.23439432484707068
J045213-164012	Pettini_Dec_9_2009	J045213-164012	2.684	3100	5979	841	1622	3100	5979	20.57	1	14.0	71600	2.60	1.2751266431992323	-0.2909720814325536
J045213-164012	Steidel_Oct_9_10_2005	J045213-164012	2.684	3100	5979	841	1622	3124	5979	41.32	1	12.0	71600	2.60	1.2750546483675875	-0.29098129289249464
J045312-130546	Steidel_Feb_27_28_1998	J045312-130546	2.3	4253	6721	1288	2036	4253	6721	-1.00	2	9.0	95600	2.60	1.279450696421048	-0.22862746611027276
J045608-215909	Cohen_Dec_25_1997	J045608-215909	0.534	3882	6179	2530	4028	3882	6179	-1.00	2	10.0	95600	2.60	1.2829093572220835	-0.3850909006010722
J050112-015914	Wolfe_Oct_31_Nov_1_1995	J050112-015914	2.286	3889	6298	1183	1916	3889	6298	-1.00	2	5.0	71700	2.60	1.3032293530384274	-0.03593632929856324
J053007-250329	Lu_Jan_3_4_1998	J053007-250329	2.765	3504	6527	930	1733	4115	6527	9.14	2	5.0	95600	2.60	1.4315481413066156	-0.43799522392478807
J053007-250329	Sargent_Dec_28_29_30_31_1997	J053007-250329	2.765	3504	6527	930	1733	3504	5045	12.61	2	3.0	71700	2.60	1.4315525046297457	-0.43797970988699253
J053007-250329	Sargent_Dec_28_29_30_31_1997	J053007-250329_spec2	2.765	3504	6527	930	1733	3504	5045	13.43	2	4.0	71700	2.60	1.4315183252652273	-0.43803303939191457
J055246-363727	Roth_Nov_11_12_1996	J055246-363727	2.318	4537	7023	1367	2116	4537	7023	-1.00	2	2.0	95600	2.60	1.5392764077244006	-0.6392147182008955
J055246-363727	Roth_Nov_11_12_1996	J055246-363727_spec2	2.318	4537	7023	1367	2116	4537	7023	-1.00	2	2.0	95600	2.60	1.5392764077244006	-0.6392147182008955
J064204+675835	Cowie_Dec_25_2003	J064204+675835	3.177	3470	6541	830	1565	4173	6541	45.44	2	12.0	71700	2.60	1.7313142581008147	1.1872330741030006
J064204+675835	Cowie_Dec_25_2003	J064204+675835_spec2	3.177	3470	6541	830	1565	4173	6541	45.52	2	12.0	71700	2.60	1.7313142581008147	1.1872330741030006
J064204+675835	Cowie_Dec_8_9_1999	J064204+675835	3.177	3470	6541	830	1565	4106	6514	20.55	2	8.0	71700	2.60	1.7314837004823627	1.1872301652209138
J064204+675835	Cowie_Oct_2_3_4_1997	J064204+675835	3.177	3470	6541	830	1565	4174	6541	18.09	2	8.0	71700	2.60	1.7313229847470748	1.1872437400039848
J064204+675835	Sargent_Feb_22_1995	J064204+675835	3.177	3470	6541	830	1565	4087	6076	19.19	2	5.0	95600	2.60	1.7312691704284717	1.1871971978905984
J064204+675835	Tytler_Feb_3_4_1998	J064204+675835	3.177	3470	6541	830	1565	3539	5103	69.48	2	7.0	71700	2.60	1.7314327950458464	1.1872335589166816
J064204+675835	Tytler_Oct_27_28_29_1998	J064204+675835	3.177	3470	6541	830	1565	3470	5036	39.98	2	10.0	71700	2.60	1.73122480997665	1.187248588140796
J064632+445116	Sargent_Nov_10_11_12_1999	J064632+445116	3.408	4493	5900	1019	1338	4493	5900	7.50	2	6.0	95600	2.60	1.7738421142077434	0.782860648590521
J073149+285448	Prochaska_Jan_5_2006	J073149+285448	3.675	4160	8768	889	1875	4160	8768	22.07	1	9.0	71600	2.60	1.9714628365289744	0.5046367429027426
J074110+311200	Wolfe_Dec_26_2006	J074110+311200	0.631	3076	5934	1885	3638	3076	5934	-1.00	1	4.0	102700	1.30	2.0121893674037405	0.5445621191694752
J074521+473436	Milutinovic_Oct_29_30_2007	J074521+473436	3.22	3575	6591	847	1561	3627	5535	23.23	1	7.0	47700	1.30	2.030534232283244	0.8303636626929957
J074521+473436	Cowie_Feb_13_14_15_16_1999	J074521+473436	3.22	3575	6591	847	1561	4154	6513	19.80	2	9.0	71700	2.60	2.0305335050627225	0.8303752982213423
J074521+473436	Cowie_Feb_13_14_15_16_1999	J074521+473436_spec2	3.22	3575	6591	847	1561	4178	6547	43.19	2	12.0	71700	2.60	2.030513870108638	0.8303592993698656
J074521+473436	Cowie_Feb_22_23_24_1998	J074521+473436	3.22	3575	6591	847	1561	4176	6544	47.48	2	13.0	71700	2.60	2.030524051195941	0.8303529967920111
J074521+473436	Cowie_Feb_22_23_24_1998	J074521+473436_spec2	3.22	3575	6591	847	1561	4152	6591	38.88	2	12.0	71700	2.60	2.0305233239754195	0.8303694804571689
J074521+473436	Cowie_Nov_28_1997	J074521+473436	3.22	3575	6591	847	1561	3836	6282	33.19	2	12.0	71700	2.60	2.0303342466397867	0.83039614520963
J074521+473436	Cowie_Nov_28_1997	J074521+473436_spec2	3.22	3575	6591	847	1561	3845	6295	36.22	2	12.0	71700	2.60	2.0305145973291596	0.830360753810909
J074521+473436	Tytler_Dec_14_15_1998	J074521+473436	3.22	3575	6591	847	1561	3575	5128	78.16	2	14.0	71700	2.60	2.030516051770203	0.8303617234382712
J074711+273903	Wolfe_Oct_31_Nov_1_2003	J074711+273903	4.154	5822	8185	1129	1588	5822	8185	6.75	2	5.0	71700	2.60	2.03853729412416	0.4826499576507441
J074749+443417	Wolfe_Jan_15_2011	J074749+443417	4.435	4850	9459	892	1740	4850	9459	3.04	1	7.0	47700	1.30	2.041318185399004	0.7779000350054083
J074749+443417	Wolfe_Jan_24_25_26_2011	J074749+443417	4.435	4850	9459	892	1740	4908	7983	8.45	1	5.0	47700	1.30	2.041334184250481	0.777810829288084
J074927+415242	Hamann_Mar_27_28_29_2007	J074927+415242	3.111	3571	8127	868	1976	3571	8127	17.68	1	6.0	47700	1.30	2.0484725808911377	0.7309235285606186
J075054+425219	Sargent_Oct_12_13_14_1999	J075054+425219	1.896	3027	4890	1045	1688	3307	4375	10.73	2	11.0	95600	2.60	2.0395364951209265	0.7505046683269516
J075054+425219	Sargent_Oct_12_13_14_1999	J075054+425219_spec2	1.896	3027	4890	1045	1688	3340	4890	12.12	2	11.0	95600	2.60	2.039540858444057	0.7504818820839395
J075054+425219	Tytler_Mar_1_2_2001	J075054+425219	1.896	3027	4890	1045	1688	3027	4582	7.14	2	9.0	71700	2.60	2.0547397673468404	0.7482517391508356
J080117+521034	Cowie_Dec_8_9_1999	J080117+521034	3.235	4043	6759	954	1595	4154	6589	23.32	2	6.0	71700	2.60	2.100119782339737	0.9106085687492025
J080117+521034	Cowie_Feb_13_14_15_16_1999	J080117+521034	3.235	4043	6759	954	1595	4154	6513	9.32	2	4.0	71700	2.60	2.1000426969644406	0.9106541412352269
J080117+521034	Cowie_Feb_13_14_15_16_1999	J080117+521034_spec2	3.235	4043	6759	954	1595	4178	6547	9.01	2	8.0	71700	2.60	2.100041242523397	0.9106551108625891
J080117+521034	Sargent_April_13_14_15_1999	J080117+521034	3.235	4043	6759	954	1595	4043	5596	8.62	2	5.0	95600	2.60	2.083359530976939	0.9130912996101646
J080117+521034	Sargent_Dec_18_22_1998	J080117+521034	3.235	4043	6759	954	1595	4224	6664	39.66	2	9.0	95600	2.60	2.0834387980138005	0.9130728766902823
J080117+521034	Sargent_Dec_18_22_1998	J080117+521034_spec2	3.235	4043	6759	954	1595	4306	6759	42.25	2	8.0	95600	2.60	2.083434434690671	0.9130767551997313
J080342+302254	Cowie_Oct_25_26_2001	J080342+302254	2.03	3849	6080	1270	2006	3849	6080	-1.00	2	8.0	95600	2.60	2.110513218035363	0.530256237067295
J080447+101523	Hamann_Jan_1_2_1998	J080447+101523	1.948	3400	4920	1153	1668	3400	4914	-1.00	2	3.0	95600	2.60	2.1034010013334856	0.18149436484648476
J080447+101523	Hamann_Jan_1_2_1998	J080447+101523_spec2	1.948	3400	4920	1153	1668	3406	4920	-1.00	2	3.0	95600	2.60	2.1034010013334856	0.18149388003280365
J080518+614423	Prochaska_Jan_5_2006	J080518+614423	3.033	3987	8534	988	2116	3987	8534	8.55	1	6.0	71600	2.60	2.117536713833597	1.0775648257402557
J081240+320808	Prochaska_April_10_11_2007	J081240+320808	2.711	3331	7177	897	1933	3331	6190	29.51	1	7.0	47700	1.30	2.1496849514348106	0.560831496680149
J081240+320808	Wolfe_Mar_11_12_2003	J081240+320808	2.711	3331	7177	897	1933	4714	7173	-1.00	2	8.0	95600	2.60	2.149690041978462	0.5608508892273933
J081240+320808	Wolfe_Mar_11_12_2003	J081240+320808_spec2	2.711	3331	7177	897	1933	4720	7177	-1.00	2	8.0	95600	2.60	2.149722039681415	0.560871251402
J081240+320808	Wolfe_Mar_2_3_2002	J081240+320808	2.711	3331	7177	897	1933	4311	6766	15.82	2	8.0	95600	2.60	2.1497213124608936	0.560871251402
J081240+320808	Wolfe_Nov_1_2002	J081240+320808	2.711	3331	7177	897	1933	4314	6770	20.16	2	9.0	95600	2.60	2.1497584007074986	0.5608639791967833
J081336+481302	Roth_Nov_11_12_1996	J081336+481302_spec2	0.87	3857	6080	2062	3251	3859	6080	-1.00	2	3.0	95600	2.60	2.1537217525505694	0.8415487991298737
J081336+481302	Roth_Nov_11_12_1996	J081336+481302	0.87	3857	6080	2062	3251	4100	6078	-1.00	2	2.0	95600	2.60	2.153759568017696	0.8415478295025114
J081336+481302	Wolfe_Nov_8_9_1999	J081336+481302	0.87	3857	6080	2062	3251	3857	5978	-1.00	2	6.0	71700	2.60	2.1379926998874916	0.8441968514560939
J081435+502946	Wolfe_Dec_27_2006	J081435+502946	3.883	4024	9725	824	1991	4024	8574	15.72	1	6.0	47700	1.30	2.1580748945932515	0.8812046189899092
J081435+502946	Wolfe_Mar_24_25_2008	J081435+502946	3.883	4024	9725	824	1991	5219	9725	27.53	1	5.0	47700	1.30	2.1580465329929064	0.8813253375965056
J081740+135134	Wolfe_Jan_15_2011	J081740+135134	4.389	4935	8006	915	1485	4935	8006	3.15	1	3.0	47700	1.30	2.171495749320566	0.24192348131470176
J082107+310751	Sargent_April_7_8_9_2007	J082107+310751	2.625	3058	5981	843	1649	3101	5981	34.00	1	9.0	47700	1.30	2.1865295791649326	0.5433229354005592
J082107+310751	Steidel_Sep_24_25_2008	J082107+310751	2.625	3058	5981	843	1649	3058	5897	18.82	1	5.0	47700	1.30	2.1865201252981508	0.5433360253699492
J082540+354414	Wolfe_Mar_24_25_2008	J082540+354414	3.846	5180	9716	1068	2004	5180	9716	18.12	1	6.0	71600	1.30	2.206360882790718	0.6237263755304892
J082619+314848	Wolfe_Dec_27_2006	J082619+314848	3.093	3842	8362	938	2043	3842	8362	19.76	1	6.0	47700	1.30	2.20931121644711	0.5552619571115627
J082849+085854	Wolfe_Apr_14_15_2012	J082849+085854	2.271	3153	5992	963	1831	3153	5992	6.60	1	4.0	95500	2.60	2.2201482566609516	0.1567611100910007
J083052+241059	Wolfe_Dec_26_2006	J083052+241059	0.941	3051	5936	1571	3058	3051	5936	-1.00	1	2.0	102700	1.30	2.2290843424311624	0.42207879077396204
J083102+335803	Pettini_Dec_9_2009	J083102+335803	2.427	3123	5979	911	1744	3123	5979	14.31	1	4.0	71600	2.60	2.2298450150968234	0.5928422896027683
J083141+524517	Chaffee_April_20_1998	J083141+524517	3.911	4397	7783	895	1584	4423	5952	46.79	2	5.0	95600	2.60	2.216429978133682	0.9237130825495933
J083141+524517	Chaffee_May_18_1998	J083141+524517	3.911	4397	7783	895	1584	4410	5954	30.08	2	7.0	95600	2.60	2.2163812543587307	0.923689326679219
J083141+524517	Chaffee_May_18_1998	J083141+524517_spec2	3.911	4397	7783	895	1584	4397	5899	32.70	2	10.0	95600	2.60	2.2163805271382087	0.923689326679219
J083141+524517	Cowie_Oct_18_19_20_21_1998	J083141+524517	3.911	4397	7783	895	1584	5343	7766	106.43	2	13.0	71700	2.60	2.2164096159590754	0.9237009622075656
J083141+524517	Cowie_Oct_18_19_20_21_1998	J083141+524517_spec2	3.911	4397	7783	895	1584	5301	7783	107.72	2	4.0	71700	2.60	2.21643361423629	0.9237150218043179
J083712+145917	Sargent_Apr_4_5_2002	J083712+145917	2.512	3105	4648	884	1323	3105	4648	6.65	2	5.0	95600	2.60	2.256719449474928	0.2615438909892047
